text,language,century,region,script_type,shelfmark,verse,genre,project,line_type,gen_split,source_idx,image_path,source_corpus
ansi bñ.  tue lenfant qui encores en ygnocence. Sy,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42957,images/ligne_42957.png,CATMuS
sauras mielx aidier que nul hõme uiuant. Sy fault,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42958,images/ligne_42958.png,CATMuS
doy. a celui qui me fist Iaymeroie. mielx mourir que,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42959,images/ligne_42959.png,CATMuS
mari ꝯmen tu metes secretement certain poisons que,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42960,images/ligne_42960.png,CATMuS
⁊ trop a mon gre. Car Iay ung seignr̃ A mary qui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42961,images/ligne_42961.png,CATMuS
ton auoir de uint ẜẜ dargent. Celui qui ne pẽcoit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42962,images/ligne_42962.png,CATMuS
ueil mon conseil Reueler. lequel est et ueil quil soit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42963,images/ligne_42963.png,CATMuS
du faire ⁊ moy de la ꝯsentie. Car par la foy que Ie,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42964,images/ligne_42964.png,CATMuS
aucune chose sauoir. Et en le moy prõmetant croistray,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42965,images/ligne_42965.png,CATMuS
Ie suy Riche dieu mercy ⟦Iay⟧ Iay des biens largement,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42966,images/ligne_42966.png,CATMuS
qui tant est doulcet et plaisant damoisel de son aaige,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42967,images/ligne_42967.png,CATMuS
quon monde Ie croy na son ⟦pla⟧ pareil. Il na que sept ans,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42968,images/ligne_42968.png,CATMuS
HI,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,HeadingLine,train,42969,images/ligne_42969.png,CATMuS
encores en enuiron. Et Ia le uoulez faire mourir. Re,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42970,images/ligne_42970.png,CATMuS
scez,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42971,images/ligne_42971.png,CATMuS
2,French,14,NumberingZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42972,images/ligne_42972.png,CATMuS
pencez uous se le pere auiez ociz que uous neussiez,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42973,images/ligne_42973.png,CATMuS
esm̾ueillie quant Il oiz a sa dame Racompt̾,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42974,images/ligne_42974.png,CATMuS
Ie de moy ne puis bonnement trouu̾ sans le conseil,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42975,images/ligne_42975.png,CATMuS
en uouldroie estre despeschier par quelque moien que,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42976,images/ligne_42976.png,CATMuS
se la science de fẽme nest menteriesse,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,42977,images/ligne_42977.png,CATMuS
Receut les lettres de la dame. a quoy Il nauoit onq̃s,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,42978,images/ligne_42978.png,CATMuS
uiuant pour ce quil ne lui pouoit faire son gre. Et,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,42979,images/ligne_42979.png,CATMuS
auecques plusieurs chlr̃s ⁊ et gentilz hõmes allemens,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,42980,images/ligne_42980.png,CATMuS
quant Il se senti ami de la dame de hantonne,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42981,images/ligne_42981.png,CATMuS
Repentez. ¶ Et quant la dame entendi celuy qui,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42982,images/ligne_42982.png,CATMuS
sur le uisaige si que le sang en coula. puis apella,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42983,images/ligne_42983.png,CATMuS
qui tant estoit belle ieune ⁊ plaisant que ou,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42984,images/ligne_42984.png,CATMuS
En se. parti le ‸clert ⟦chapelain⟧. par le ꝯgie de la dame,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42985,images/ligne_42985.png,CATMuS
Moult fut Ioieux. en son couraige le Conte dron,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42986,images/ligne_42986.png,CATMuS
en une fosse ⁊ tant batre que muire ne lui eust plus,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42987,images/ligne_42987.png,CATMuS
mauuaise ⟦condicion delle⟧ nature delle. Elle apela,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42988,images/ligne_42988.png,CATMuS
penciue ꝯment aut̾ment se pourroit. cheuir A,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42989,images/ligne_42989.png,CATMuS
hardi en armes nõme dron. lequel estoit seigneur de,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42990,images/ligne_42990.png,CATMuS
et on lui enseigna. Dron qui estoit en son palaix,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42991,images/ligne_42991.png,CATMuS
dun Cheualier Riche assez hault ieune fort ⟦et⟧ bel et,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42992,images/ligne_42992.png,CATMuS
mayance en alemeigne. celui dron haioit ꝑfte̾ment ⁊,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42993,images/ligne_42993.png,CATMuS
tout son plaisir. la dame qui moult en fut Ioieuse,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42994,images/ligne_42994.png,CATMuS
Et pour ce le uoulu la dame auoir a seignr̃ par la,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42995,images/ligne_42995.png,CATMuS
tout ce que mestr̃ lui seroit,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42996,images/ligne_42996.png,CATMuS
de long tempz auoit hay guion. pour cause qui cy apres,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42997,images/ligne_42997.png,CATMuS
telle Rp̃nce lui donna. Elle haulca le poing et lon scay,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42998,images/ligne_42998.png,CATMuS
Or fut celui en prison qui ne uoulu consentir la,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,42999,images/ligne_42999.png,CATMuS
ẜmonna et promist de biens que Ie sacorda a faire,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43000,images/ligne_43000.png,CATMuS
mest̾. Sy ne fault Ia enquerir quelle lui imposa ne,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43001,images/ligne_43001.png,CATMuS
ꝯment en cheust apres. Car elle en sceut bien ꝯuenir,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43002,images/ligne_43002.png,CATMuS
mauuaitie de sa dame. Et elle demoura,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43003,images/ligne_43003.png,CATMuS
encores pence. Uist la tene᷑  dicelles au long puis,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43004,images/ligne_43004.png,CATMuS
deux siengs uarles aux quielx. elle cõmanda mettre,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43005,images/ligne_43005.png,CATMuS
⟦chappelain⟧ fut arriue a maiance Il demanda le ꝯte,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43006,images/ligne_43006.png,CATMuS
le mercya. Et tout son fait on secret lui declaira,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43007,images/ligne_43007.png,CATMuS
et fist escripre pour enuoier a dron qui A mayance,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43008,images/ligne_43008.png,CATMuS
telle trahison faire ꝯme du pe̾. Et de lenfant metis,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43009,images/ligne_43009.png,CATMuS
sera en brief decleree Ainsi que son tour si adonnera,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43010,images/ligne_43010.png,CATMuS
a mort. Aincois uous iray acuser se de ce ne uoꝰ ⟦Repẽtez⟧,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43011,images/ligne_43011.png,CATMuS
estoit. Et lui meesmes lentreprist. aport̾ et faire,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43012,images/ligne_43012.png,CATMuS
la mort de guion son seignr̃ quelle haioit plus que Rien,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43013,images/ligne_43013.png,CATMuS
Ung ‸clerc ⟦chapelain⟧ qui assez estoit pͥue delle. Et tant bñ,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43014,images/ligne_43014.png,CATMuS
ne lui chaloit de lenfant quelque beaulte quil eust,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43015,images/ligne_43015.png,CATMuS
Mais que son uouloir feust acomply. Elle sauisa lors,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43016,images/ligne_43016.png,CATMuS
pais dallemeigne eust il bien failli a en trouuer,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43017,images/ligne_43017.png,CATMuS
son messaige en telle maniere quelle le uoulu ꝓposer,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43018,images/ligne_43018.png,CATMuS
a qui moult tarda en auoir nouuelles. Et quant la,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43019,images/ligne_43019.png,CATMuS
Regarda le ⟦chapelain⟧ et cõmanda quil feust serui A,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,train,43020,images/ligne_43020.png,CATMuS
quil lui plaisoit ne plus nen post auoir que celui. de,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,43021,images/ligne_43021.png,CATMuS
lequel en son uielx aage se maria. ne dit point cy,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,test,43022,images/ligne_43022.png,CATMuS
En angleterre quon souloit Iadiz nõmee la grant breteigne,French,14,MainZone,Cursiva,"Paris, BnF, fr. 12554",prose,Narratives,HTRomance,DefaultLine,dev,43023,images/ligne_43023.png,CATMuS
